Designator,Mid X,Mid Y,Rotation,Layer
R61,143.6635,-107.442,0.0,top
R62,132.334,-87.6565,270.0,top
R63,160.528,-102.7695,270.0,bottom
R64,158.7765,-100.33,0.0,bottom
R65,131.572,-87.63,90.0,top
R66,124.0275,-113.919,180.0,bottom
R67,124.0525,-107.569,0.0,bottom
R68,127.1785,-113.919,0.0,bottom
R69,127.1535,-107.569,180.0,bottom
R7,121.163,-101.1815,270.0,bottom
R70,154.94,-91.2375,90.0,bottom
R71,140.3615,-94.107,0.0,bottom
R8,129.4645,-94.148,0.0,bottom
R9,118.364,-114.9615,270.0,bottom
S1,116.289,-117.153,0.0,top
SW1,116.833,-105.92,0.0,top
U1,127.71,-96.622,270.0,bottom
U10,133.202,-85.05,180.0,top
U11,154.686,-94.488,90.0,bottom
U12,157.607,-88.773,270.0,bottom
U2,116.139001,-116.773998,270.0,bottom
U3,130.801299,-100.362,180.0,top
U4,128.778,-81.788,180.0,bottom
U5,138.557,-107.442,90.0,top
U6,135.697,-115.05,0.0,top
U7,150.114,-81.788,180.0,bottom
U8,141.645,-91.515,270.0,top
U9,140.335,-91.567,90.0,bottom
